,id_season,tm,opp,game_nb,before_average_W_ratio,before_average_W_ratio_opp,extdom_ext,rest,before_average_pts_tm,before_average_pts_opp,before_average_pts_tm_opp,before_average_pts_opp_opp,id,results
182,2010,CHI,NYK,27,0.3846153846153846,0.3703703703703703,1,1,91.2,98.6,102.1,105.0,2009-12-22_CHI_NYK,0
183,2010,CHI,NOH,28,0.3703703703703703,0.4814814814814814,0,4,90.9,98.2,98.5,101.2,2009-12-26_NOH_CHI,1
184,2010,CHI,IND,29,0.3928571428571428,0.3103448275862069,0,3,91.0,97.7,96.7,102.0,2009-12-29_IND_CHI,1
185,2010,CHI,DET,30,0.4137931034482758,0.3548387096774194,1,2,91.5,97.6,91.6,95.8,2009-12-31_CHI_DET,1
186,2010,CHI,MIL,34,0.4242424242424242,0.4375,1,3,92.3,97.6,97.5,98.0,2010-01-08_CHI_MIL,0
187,2010,CHI,MIN,35,0.4117647058823529,0.2162162162162162,0,1,92.3,97.6,96.1,105.6,2010-01-09_MIN_CHI,1
188,2010,CHI,BOS,37,0.4444444444444444,0.7297297297297297,1,3,93.6,97.2,100.9,93.6,2010-01-14_CHI_BOS,1
189,2010,CHI,WAS,38,0.4594594594594595,0.3243243243243243,0,1,93.6,96.9,98.8,102.9,2010-01-15_WAS_CHI,1
190,2010,CHI,GSW,39,0.4736842105263157,0.2894736842105263,1,3,94.3,97.4,107.3,112.0,2010-01-18_CHI_GSW,0
191,2010,CHI,LAC,40,0.4615384615384615,0.45,1,2,94.4,97.9,96.4,99.1,2010-01-20_CHI_LAC,0
192,2010,CHI,HOU,42,0.4634146341463415,0.5714285714285714,1,1,95.0,98.2,101.0,100.5,2010-01-23_CHI_HOU,1
193,2010,CHI,NOH,45,0.5,0.5555555555555556,1,2,95.3,97.8,99.5,100.7,2010-01-29_CHI_NOH,1
194,2010,CHI,LAC,46,0.5111111111111111,0.425531914893617,0,4,95.6,97.9,95.7,99.3,2010-02-02_LAC_CHI,0
195,2010,CHI,PHI,47,0.5,0.3404255319148936,1,1,95.3,97.8,97.2,100.0,2010-02-03_CHI_PHI,0
196,2010,CHI,ATL,48,0.4893617021276595,0.6458333333333334,1,2,95.4,97.9,102.2,97.5,2010-02-05_CHI_ATL,0
